input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
209,621504.4010607626,7741200.339812014,209,621503.3898226622,7741201.070535909,238.0,621502.9952976742,7741201.768582994
210,621506.0872200467,7741199.115255914,210,621507.1629236756,7741199.421661057,219.0,621507.0373499752,7741200.237857796
211,621510.8788829653,7741197.768415912,211,621511.4410854544,7741198.723488822,226.0,621510.8558347618,7741198.346678577
212,621513.6401024379,7741195.589674391,212,621515.481571579,7741196.747809945,228.0,621514.4397332768,7741196.738019596
213,621517.8498184916,7741196.343519309,213,621517.5463788264,7741195.292046561,232.0,621518.0803303791,7741195.315602066
214,621521.4747241791,7741194.152268659,214,621523.191175618,7741193.8659926355,249.0,621521.9459707277,7741193.629322684
215,621362.8149573274,7741246.212494285,215,621362.492723799,7741247.654964168,183.0,621362.9068255684,7741246.640130548
216,621366.6379815185,7741246.268908204,216,621367.3502199854,7741246.674552093,197.0,621366.2829249548,7741246.0833394425
217,621368.9737718586,7741246.029870603,217,621370.573696048,7741244.639454302,222.0,621370.365925019,7741245.312638738
218,621372.994450711,7741243.888671274,218,621374.4656348885,7741245.946670402,239.0,621374.4441678898,7741244.603520175
219,621380.2185799846,7741242.295155788,219,621378.2535906301,7741244.47605229,230.0,621378.8574815685,7741243.716573886
220,621381.3409231129,7741244.284713433,220,621381.9524180015,7741242.842032166,229.0,621382.817068582,7741243.379883079
221,621385.8448513581,7741242.689608841,221,621386.3494176076,7741242.218133573,211.0,621386.8632313183,7741242.259238165
222,621392.5581004738,7741242.583549943,222,621392.692386634,7741241.891329549,204.0,621391.0786038873,7741241.648680184
223,621396.2920186538,7741240.541568091,223,621395.1731262765,7741240.6880965475,228.0,621395.0049311,7741241.241771514
224,621397.7772752619,7741240.454253656,224,621399.1987576726,7741240.688096548,224.0,621399.1178684819,7741240.385303043
225,621402.5962610032,7741238.049638697,225,621403.0758417847,7741239.395735178,218.0,621403.1900928692,7741239.441678179
226,621407.3862457228,7741237.702443836,226,621408.482962922,7741238.4598872885,244.0,621407.463959098,7741238.647803959
227,621411.227842166,7741238.058347698,227,621411.8252768117,7741239.321461535,210.0,621411.400753583,7741237.5465206485
228,621415.5916062099,7741237.51380197,228,621415.2864285286,7741236.528772596,233.0,621415.407836043,7741236.640029345
229,621419.4210493709,7741235.715224845,229,621420.8718064065,7741234.508529535,225.0,621419.8177125278,7741235.6765282415
230,621423.0314899401,7741235.241195743,230,621422.5949549008,7741234.657076818,237.0,621423.6038186353,7741235.037263804
231,621427.400452168,7741233.995550716,231,621429.3835657792,7741234.419401164,216.0,621427.660752753,7741233.7257057885
232,621433.1008234501,7741233.092488022,232,621432.770443854,7741232.948783052,252.0,621431.7568092515,7741232.62498369
233,621434.9796137358,7741231.883561702,233,621436.6772374229,7741232.547705386,238.0,621435.9400816594,7741231.486179108
234,621440.640538135,7741231.202876805,234,621440.2720816955,7741230.690864336,230.0,621439.8636696739,7741230.259896311
235,621445.5035963393,7741229.710140841,235,621442.6785476961,7741228.744894916,230.0,621444.0601112801,7741229.388872806
236,621447.8750676464,7741227.471280816,236,621447.0606925738,7741229.2053914955,226.0,621447.9280175307,7741228.4023599215
237,621453.0392427292,7741227.91704793,237,621452.0518813159,7741225.83336815,220.0,621452.0360325469,7741227.135123584
238,621456.2864558117,7741224.496996434,238,621456.8648133171,7741225.105486458,204.0,621455.8771528597,7741225.979513116
239,621459.013832854,7741223.533714425,239,621459.06331312,7741225.72938505,247.0,621459.7687406059,7741224.898513142
240,621462.9997344273,7741222.914729998,240,621463.3266201705,7741224.451878409,241.0,621463.8592962747,7741223.410620269
241,621469.5003867385,7741222.265052062,241,621469.8329912092,7741222.372216433,236.0,621468.1373806113,7741222.083591827
242,621472.280038292,7741219.909771667,242,621471.570994432,7741220.3371186415,233.0,621471.8073687267,7741221.305133047
243,621474.6826548876,7741221.021125555,243,621475.373804902,7741220.857034136,233.0,621475.7445951711,7741219.941061626
244,621480.211518139,7741218.479005891,244,621478.9240849894,7741219.223014012,208.0,621480.0241183195,7741218.442321872
